Ticker,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,conditions,indicators,participant_timestamp,sequence_number,sip_timestamp,tape,trf_timestamp
MSFT,11,276.4,1,12,275.52,2,1,,1679990405779626000,6976,1679990405779817085,3,0
MSFT,11,276.4,1,12,275.53,2,1,,1679990406371315060,7029,1679990406371330136,3,0
MSFT,11,276.4,1,12,275.64,2,1,,1679990406391326222,7032,1679990406391339675,3,0
MSFT,8,276.39,1,12,275.64,2,1,,1679990406513160000,7036,1679990406513356315,3,0
MSFT,11,276.4,1,12,275.64,2,1,,1679990406666494000,7041,1679990406666683715,3,0
MSFT,12,276.32,1,12,275.64,2,1,,1679990409893594031,7208,1679990409893607439,3,0
MSFT,11,276.4,1,12,275.64,2,1,,1679990409893625338,7209,1679990409893637646,3,0
MSFT,11,276.4,1,11,275.44,1,1,,1679990409963638818,7212,1679990409963651568,3,0
MSFT,12,275.81,1,11,275.44,1,1,,1679990417461960851,7567,1679990417461974052,3,0
MSFT,12,275.78,1,11,275.44,1,1,,1679990417461989248,7568,1679990417462003601,3,0
MSFT,12,276.07,3,11,275.44,1,1,,1679990417462039114,7569,1679990417462051260,3,0
MSFT,12,276.07,2,11,275.44,1,1,,1679990417462054010,7570,1679990417462064978,3,0
MSFT,12,276.07,1,11,275.44,1,1,,1679990417462262829,7571,1679990417462275129,3,0
MSFT,8,276.07,1,11,275.44,1,1,,1679990417462505900,7574,1679990417462517968,3,0
MSFT,8,276.07,2,11,275.44,1,1,,1679990417462335000,7575,1679990417462532512,3,0
MSFT,12,276.07,1,11,275.44,1,1,,1679990417462402000,7576,1679990417462599558,3,0
MSFT,11,276.4,1,11,275.44,1,1,,1679990417482052496,7580,1679990417482064808,3,0
MSFT,11,276.4,1,12,275.6,1,1,,1679990426946876152,7849,1679990426946888813,3,0
MSFT,11,276.4,1,11,275.44,1,1,,1679990426946909935,7850,1679990426946922133,3,0
MSFT,11,276.4,1,11,275.6,1,1,,1679990426946684672,7851,1679990426947027746,3,0
MSFT,11,276.4,1,11,275.44,1,1,,1679990426946761216,7852,1679990426947101877,3,0
MSFT,11,276.4,1,8,275.6,1,1,,1679990426946981000,7853,1679990426947187947,3,0
MSFT,11,276.4,1,11,275.44,1,1,,1679990426951918000,7857,1679990426952102436,3,0
MSFT,12,275.76,1,11,275.44,1,1,,1679990432264815676,8079,1679990432264827983,3,0
MSFT,12,276.02,3,11,275.44,1,1,,1679990432264869863,8080,1679990432264881862,3,0
MSFT,12,276.02,2,11,275.44,1,1,,1679990432264885205,8082,1679990432264897968,3,0
MSFT,12,276.02,1,11,275.44,1,1,,1679990432264909260,8083,1679990432264921320,3,0
MSFT,8,276.02,2,11,275.44,1,1,,1679990432265164000,8085,1679990432265359838,3,0
MSFT,12,276.02,1,11,275.44,1,1,,1679990432265189000,8086,1679990432265373711,3,0
MSFT,11,276.4,1,11,275.44,1,1,,1679990432284866625,8093,1679990432284878874,3,0
MSFT,11,276.4,2,11,275.44,1,1,,1679990434645801984,8140,1679990434646145030,3,0
MSFT,11,276.4,2,12,275.25,2,1,,1679990441378048512,8406,1679990441378388505,3,0
MSFT,11,276.4,2,11,275.44,1,1,,1679990441379215360,8407,1679990441379554661,3,0
MSFT,11,276,1,11,275.44,1,1,,1679990443670456832,8497,1679990443670797230,3,0
MSFT,11,276,1,12,275.25,2,1,,1679990446385574144,8550,1679990446385914753,3,0
MSFT,11,276,1,11,275.4,1,1,,1679990446386752512,8551,1679990446387092732,3,0
MSFT,12,275.91,1,11,275.4,1,1,,1679990451609283399,8659,1679990451609295781,3,0
MSFT,12,275.63,1,11,275.4,1,1,,1679990451609284324,8660,1679990451609297672,3,0
MSFT,12,275.91,3,11,275.4,1,1,,1679990451609309226,8661,1679990451609323424,3,0
MSFT,12,275.91,2,11,275.4,1,1,,1679990451609323118,8662,1679990451609335267,3,0
MSFT,12,275.91,1,11,275.4,1,1,,1679990451609327847,8663,1679990451609339336,3,0
MSFT,11,276,1,11,275.4,1,1,,1679990451629297238,8671,1679990451629311148,3,0
MSFT,12,275.89,1,11,275.4,1,1,,1679990455361659153,8781,1679990455361672070,3,0
MSFT,12,275.57,1,11,275.4,1,1,,1679990455361660063,8782,1679990455361673874,3,0
MSFT,12,275.89,3,11,275.4,1,1,,1679990455361698707,8783,1679990455361710260,3,0
MSFT,12,275.89,2,11,275.4,1,1,,1679990455361712493,8784,1679990455361724072,3,0
MSFT,12,275.89,1,11,275.4,1,1,,1679990455361716194,8785,1679990455361727554,3,0
MSFT,12,275.89,1,8,275,2,1,,1679990455361653248,8786,1679990455361996952,3,0
MSFT,11,276,1,8,275,2,1,,1679990455381673987,8792,1679990455381686132,3,0
MSFT,11,276,1,12,275.06,2,1,,1679990456942613830,8837,1679990456942627443,3,0
MSFT,11,276,1,12,275.17,2,1,,1679990460135580282,8909,1679990460135593864,3,0
MSFT,11,276,1,12,275.2,2,1,,1679990460248674294,8915,1679990460248687501,3,0
MSFT,11,276,1,8,275,2,1,,1679990462369561751,9004,1679990462369575371,3,0
MSFT,12,275.88,1,8,275,2,1,,1679990462469373140,9021,1679990462469386025,3,0
MSFT,11,276,1,8,275,2,1,,1679990462469401642,9022,1679990462469414084,3,0
MSFT,11,275.88,1,8,275,2,1,,1679990462469175296,9024,1679990462469515445,3,0
MSFT,11,276,1,8,275,2,1,,1679990462469231104,9025,1679990462469570874,3,0
MSFT,8,275.88,1,8,275,2,1,,1679990462469459000,9026,1679990462469650167,3,0
MSFT,11,276,1,8,275,2,1,,1679990462474266000,9027,1679990462474450895,3,0
MSFT,11,276,1,12,275.04,2,1,,1679990465493784691,9140,1679990465493797927,3,0
MSFT,12,275.85,1,12,275.04,2,1,,1679990467546295864,9251,1679990467546309365,3,0
MSFT,12,275.8,1,12,275.04,2,1,,1679990467546318325,9252,1679990467546330258,3,0
MSFT,12,275.8,1,8,275,2,1,,1679990467546367082,9253,1679990467546378618,3,0
MSFT,11,275.8,1,8,275,2,1,,1679990467546450425,9256,1679990467546466331,3,0
MSFT,12,275.36,1,8,275,2,1,,1679990467546472588,9257,1679990467546485858,3,0
MSFT,12,275.64,3,8,275,2,1,,1679990467546501296,9258,1679990467546515399,3,0
MSFT,12,275.64,2,8,275,2,1,,1679990467546519209,9259,1679990467546530595,3,0
MSFT,12,275.64,1,8,275,2,1,,1679990467546522945,9260,1679990467546535016,3,0
MSFT,8,275.64,2,8,275,2,1,,1679990467546726000,9264,1679990467546915475,3,0
MSFT,12,275.64,1,8,275,2,1,,1679990467546874000,9265,1679990467547055524,3,0
MSFT,12,275.64,1,8,275,1,1,,1679990467547122000,9266,1679990467547351184,3,0
MSFT,11,276.4,2,8,275,1,1,,1679990467566515816,9274,1679990467566527777,3,0
